260,59,Nell Locke,72,9,5f,Loony,7,7,2,1,0.176
261,59,Gillian Imberline,78,9,8f,Zori,6,12,6,1,0.170
262,58,Claude Aeger,66,9,5m,Kire,7,7,4,0,0.139
263,58,Annora Taylor,71,9,11f,Thundy,6,13,7,0,0.135
264,58,Neptune Liefde,71,9,12m,Flyss,5,14,4,2,0.133
265,58,Fallon Payne,75,9,5f,Stare,5,17,6,0,0.129
266,58,Florence Hartmyre,64,8,6f,Wonder,5,10,2,2,0.121
267,58,Riker Mills,62,9,5M,Aquarianfire,5,11,7,0,0.094
268,57,Helios Delacroix,75,9,9m,Rave,4,19,5,1,0.090
269,57,Jestina Lelborne,54,9,9f,Stare,3,12,9,0,0.085
270,57,Pixie Ruined,69,8,5f,Azaleah,5,7,5,0,0.082
271,57,Heathcliff Travers,73,8,2m,Zorionak,4,13,6,1,0.075
272,57,Hayden Harvard,77,8,2f,Nyte,6,7,6,0,0.060
273,57,Jeremy Houser,54,9,3m,Rizzo,4,9,7,0,0.053
274,57,Jordan Scoff-Reye,69,8,10m,Kousei,4,13,8,0,0.038
275,56,Ares Pine,66,9,2m,Cato,7,8,2,1,0.031
276,56,Mercury Duval,56,9,5f,Thundy,2,13,10,0,0.008
277,56,Soren Ryder,57,8,12m,Damen,3,11,6,1,-0.008
278,56,Kaiser Fray,76,9,1m,Python,4,13,8,0,-0.011
279,56,Maia Grayson,57,8,2f,Rosetta,4,8,6,0,-0.036
280,56,Naida Gardez,59,7,4f,Gxk,5,7,4,0,-0.050
281,55,May Rhodes,67,8,9f,Sahalie,5,11,4,1,-0.060
282,55,Natalie Brandt,73,8,8f,Lancelot,5,11,4,1,-0.060
283,55,Shadow Bison,65,8,5m,Semper,4,11,7,0,-0.071
284,55,Denver Samuels,59,7,11m,South,4,10,4,1,-0.075
285,55,Akasha Labinnac,64,8,9f,Roseh,3,14,9,0,-0.080
286,55,Ree Fer,76,9,3m,Kousei,7,8,6,0,-0.085
287,54,Nat Krigel,70,8,4m,Anzie,4,14,8,0,-0.106
288,54,Mitchell Laws,74,8,12m,Tom,4,14,8,0,-0.106
289,54,Asa Reau,68,9,2m,Elegant,4,13,8,0,-0.127
290,54,Iris Brookside,54,9,5f,tardisgirl,2,14,10,0,-0.136
291,54,Chloë Angor,71,9,12f,Dee,7,9,4,0,-0.150
292,54,Ludwig Beilschimdt,58,8,7m,Atoa,3,12,6,1,-0.152
293,54,Motel Hunt,64,8,10m,Greenbeads,3,12,6,1,-0.152
294,53,Maisie Lennox,78,9,3f,Mylee,5,14,8,0,-0.156
295,53,Colton Brax,54,9,5m,Gigi,3,11,8,0,-0.168
